5522,4643,784,648,463,666,3957,271,228,379,139,336,85,413,158,3745,3710,3419,571,3200,463,3729,2942,2845,469,2449,2920,131,3126,570,12,5,25,1,39,16,1,84,105,88,126,62,57,54,22,184,7,172,2206,253,1895,150,1717
5690,4841,618,638,438,811,4001,285,270,344,178,335,98,407,176,3861,3902,3540,258,3486,474,3954,3104,2997,1000,2478,3044,169,3141,221,5,0,11,0,21,12,0,117,158,121,144,94,84,32,12,129,99,99,2274,89,2004,89,1818
5450,4721,715,612,363,589,4023,218,184,281,129,252,87,289,149,3653,3850,3369,374,3244,501,3884,2986,2681,587,2397,2972,595,3081,333,0,0,1,0,7,0,0,44,68,48,92,35,55,18,4,242,12,211,2245,75,1830,189,1660
5572,4718,647,873,500,709,3919,271,229,325,132,369,88,405,159,3460,3783,3283,584,3139,482,3715,2773,2623,640,2331,2850,461,3045,892,26,11,33,2,44,33,2,83,96,66,99,63,34,56,27,84,10,74,2138,71,1929,66,1768
5575,4629,692,661,617,744,3932,376,266,381,197,423,104,478,279,3508,3792,3402,1013,3299,1318,3810,2851,2729,1020,2388,2819,413,3074,313,51,32,62,8,75,54,7,144,159,170,169,139,61,86,33,55,9,34,2136,407,1980,25,1821
5521,4671,591,506,374,722,3916,192,166,210,110,218,68,275,162,3595,3666,3384,692,3201,395,3755,2897,2712,1096,2423,2875,304,3194,337,3,0,3,0,4,0,0,35,113,27,129,20,73,8,1,240,6,225,2230,88,1891,202,1719
5793,4747,666,363,414,770,3888,290,245,288,149,321,106,352,144,3399,3579,3350,390,3158,843,3694,2835,2734,1191,2320,2906,272,3025,779,33,23,53,8,87,51,9,128,154,149,156,111,52,98,39,170,8,150,2162,389,1886,135,1723
5611,4658,795,701,543,791,3993,382,326,425,239,413,137,458,195,3560,3695,3459,445,3286,879,3684,3024,2708,624,2427,3000,382,3132,309,95,86,105,40,107,124,51,187,214,186,205,172,89,131,82,196,19,177,2143,265,1882,151,1719
5781,4808,720,500,470,668,4022,301,280,332,155,352,127,377,170,3578,3782,3543,725,3205,1074,3901,2800,2724,990,2380,2885,392,3103,583,49,35,64,16,77,56,15,130,156,124,125,117,66,91,42,126,8,109,2188,65,1922,95,1779
5575,4719,643,1116,542,688,4075,232,207,259,118,234,73,331,167,3711,3894,3545,767,3373,896,3950,2949,2727,1385,2379,3002,664,3129,184,0,0,4,0,8,0,0,61,85,68,117,36,62,23,8,31,2,22,2175,276,2025,14,1837
5782,4830,732,1231,531,751,3934,370,293,443,177,415,107,482,212,3649,3639,3394,866,3333,608,3708,2805,2679,890,2326,2945,661,3051,234,48,30,67,13,69,64,14,175,177,173,181,162,86,114,46,235,14,209,2042,501,1714,191,1552
